CANTIQU ES	-------⌫-|
Seien tfaitnientmoablessicumepiered esquetre spast	-----⌫|---|----|------|-----|----|-⌫----|---⌫----|
Siredesquetrespast ic i stli	---|-----|-------|--⌫-⌫-|-|
tuenspople s	----|-----⌫|
lequelt up ursei ̈s	-----|-⌫|-⌫-----⌫-|
Tuenz merr aselsep lanterase lmont	-|--|----⌫-|--||-⌫-------|-⌫|---|
delatueeri tet	-|-|--|---⌫--|
e ltuenmult	-⌫|---|---|
feorm habita clelequeltuuueras	----|------⌫--|-----|-|-----|
Letuensaintuarie	-|---|---------|
Sirele quel fe rme rentlestue s mains	---|--⌫---|--⌫---⌫---|--|---⌫|----|
Si reregnat enparmenableteteul t re	--⌫-|-----|-|------------||--⌫-⌫-|
En t rezestacertes l icheua liers	--⌫-⌫--|--|------|-⌫|-----⌫----|
Pharaoneot	------||-|
curreseotche ual iers e nla	-----||-|---⌫---⌫---|-⌫|-|
mereramenat	--||------|
Sirelesewes	---|--|---|
Maisli fi lz acertesde	---|-|--⌫-|------|-|
Israelalerentparseccheceelmilli u de	-----|------|--|-------|-|-----⌫|-|
Sireie oïlat ue	---|-|--|-|-⌫-|
oianceecr iens	-----||--⌫---|
our een mi ll iude	---⌫|-|--⌫--⌫-|-|
a nsuiuifie li	-⌫-|------|-|
El milliu deansconeüdferatcumtu	-|-----|-|--|------|----|--|-|
iriez serasd emisericorde	----|----|-⌫|----------|
r e corderas	-⌫-⌫-------|
Deu sdesoleireuen dr ateli sainzdelmont	---⌫|-|------|---⌫--⌫-||-|----|--|---|
Pharan o uritle s ci e lslag loriede liede	-----|-⌫---|--⌫|--⌫-⌫-|-|-⌫----|-|-||-|
sal oe ngepleineest latere	-|-⌫--⌫--|-----|--|-|---|
La sple n dor deli	-|----⌫-⌫--|-|-|
sic umelumiere seratcornes	---⌫--|------|----|-----|
en s es ma ins	-|-⌫-|--⌫--|
Iluecreposteestlafortece de lui deuant sa	----|------|--|-|------|-|--|-----|-|
face iratlamort	---|---|-|---|
Isterat lidiabl esdeua ntles	------|-|-----⌫-|----⌫-|--|
piezde luies tut	---|-|--|--⌫--|
emesuratlaterr ae	|------|-|----⌫-|
Es guarde estde sl iatlesge nz edet rib lésunt li	--⌫-----|--|--⌫--⌫--|--|--⌫-||---⌫---⌫--|---|-|
montd elsiecle	---|-⌫-|-----|
Incurué sun tl i	-------|---⌫|-⌫|
te rtredelmo nt deseiresde la p armenabletet de	--⌫---|--|--⌫-|--|----|-|-|-⌫-----------|-|
Pu rfel unieie ui lesherbergesd	--⌫|---⌫---|-|-|--|--------||
Ethiopeserun t turbéeslespel s de la	------|-----⌫|-------|--|---⌫|-|-|
Queduncenflumses tuiriez	--|---|-|----|-|-|----|
Sire ue n flum s	---||-⌫|----⌫|
la fuiruruen me rlatue	-|-----||-|--⌫|-|--|
indignatiun	----------|
Ichimunteras	---|-------|
su rtescheuals e li tu enc a r saluatiun	--⌫|--|------||-|--⌫-|-⌫-⌫|--------|
E sdreç anz e sdrecerast unarc	-⌫------⌫--|-⌫--------|-⌫-|--|
lessere menzasli gneth e s lesquels tu parlas	--|----⌫---|-|--⌫-----⌫-⌫|-------|-|-----|
Lesfluezd e terre	--|----|-⌫|----|
tud ecireras	-|-⌫-------|
uirente do l ur e nt	-----||--⌫-⌫--⌫-⌫-|
limo nt ligur z desewestrespassat	-|--⌫-|-|---⌫|--|---|---------|
bysmesau oizha ltescesesm a insl euat	----|-|-⌫--|--⌫-----|--|-⌫-⌫--|-⌫---|
Lisol eizel	-|---⌫--|-|
lu ne est urentenl ur hab itacleenlalumi ere detes	--⌫-|---⌫----|-|-⌫-|---⌫-----|-|-|----⌫--|-|--|
sai ett es iruntenlasplendurde la tue fuild r a nt te	---⌫---⌫-|----|-|-|-------|-|-|--|-----⌫-⌫-⌫--⌫-|
E n fremissement	-⌫|-----------|
d echalcer as la	-⌫--------⌫-|-|
terr eenfuirur e sbai ̈ras lesgen z	----⌫|-|-----|-⌫----⌫---|--|---⌫|
Eissuziesa las alud detunpople	-----|--||-|-⌫---|-|--|----|
en saludot	-|----|-|
Tu feris l echie fde	-|----|-⌫|----⌫|-|
lamai sun de	-|---⌫--|-|
felund enuas lefundement desquealc ol	----|-⌫----|-|--------|-----|-|-⌫-|
Tumaldesisas ceptresde	-|-------|-|------|-|
luileschief s desescumbateürsas	--|--|-----⌫|-|--|----------|-|
uenanzsicumeesturbeilluna	-----|-----|-----------||
dep erdre meiLesioïsemen td els s icumede celui	---⌫----|--||-----------⌫||--|-⌫----|-|----|
chideu urelepoure	--|---⌫--|-|----|
e nrep ostaille	-⌫|---⌫-------|
ue ief esis en	--⌫-|-⌫---|-|
a tesch euals	|--|--⌫----|
en palu ddemulte sea wes	-|----⌫|-|-----⌫|--⌫--|
Ieoïeconturbez estli	-|--||--------|--|-|
mien s uent rede uoiztremblerentmes	----⌫|----⌫-|-|---|----------|--|
In trentpurr etureesmi ensos	--⌫----|----⌫----|-|--⌫--|-|
e de suzmeiesbuillisset	|--⌫--|--|-----------|
que iemer epousel	--|-|-|-⌫----|-|
iurde tribulatiun e que	--|-|----------||--|
io munte alnostre acein tpople	-|----|-|-----|-----⌫|----|
Lif i ers a certe snefluriratene	-|-⌫-⌫--|-⌫-----⌫|-|-------||-|
seratger me	----|---⌫-|
Mentiratl ouredeloliuee	-------||---|--|----||
licamp neaporterunt uiande	-|---|-|---------|-----|
S erattrenchiedelberzilbeste eneser ad	-⌫---|-------|--|-----|----||-|---⌫-|
arm entes cresces	---⌫--|-|------|
Ie acertesel	-|------|-|
Seig nor esioïrai em esleeceraien	----⌫--|--------|||---------|-|
Deulemie nsal ueür	--|-|---⌫|---⌫----|
Sirelamei eforteceeposeratm es	---|-|---⌫|------||------|-⌫-|
piezsicumedecersEsurle s	---|-----|-|---||--|--⌫|
mei e sha ltes c esdemerratm eili uenquerer een	---⌫-⌫|--⌫----⌫-⌫-|-------|-⌫-|-|---------⌫|-|
psalm escantant	-----⌫-|------|
C ANTICU M	-⌫------⌫|
Oezciels que ls c os es ieparo leoi etlat erreles	--|----|---⌫-|-⌫--⌫-|-|----⌫-|--⌫-|-|-⌫---|--|
parolesdela me ie buche	------|-|-|--⌫-|----|
C re is seten pluie	-⌫--⌫--⌫--|-|----|
la meiedoct rinedecurgesicum erose ́e li	-|---|----⌫---|------|-----⌫|----⌫-|-|
m ienparleme n	-⌫--|-------⌫|
Ensement c ume pl uie	-------|-⌫--|--⌫--|
sur herbeesicume	--|----||-----|
gutes surherbe s karl e	----|--|-----⌫|--|-⌫|
Seign urieapelerai	-----⌫-|-|-------|
Dunezgrandeceanostr e	----|-------||-----⌫|
Deusunt parfai tesetutes les	--|---|------⌫--||----|--|
lui i ugemenz	--|-⌫------|
Deus estf ethei lzesanztute	---|--|-⌫-----⌫-||---|---|
felu nieliiu steseli	----⌫--|-|--⌫---||-|
dr eiturers	--⌫-------|
Pecch erentalu ienien t lifilde	-----⌫----||--⌫||----⌫|-|--|-|
luienordeure s	--|-|-------⌫|
Gene ratiunsfelunesseeparu erse	----⌫------|--------||----⌫---|
renz tudun eicescosesa l	---|-|---⌫|---|----|-⌫|
Seignurfolpoplee nun sauant	------|--|----||--|-----|
D u mnest ici lmeesmetis perechipursis ttei	-⌫-⌫||--|---⌫|-----|--|---|--|------⌫|--|
e fist ecriattei	|---||----|--|
Rememb re desiurzanciensp urpenselessenglesgeneratiuns	------⌫-|--|---|------|-⌫------|--|------|----------|
Demand e tunpere	------⌫|--|---|
ei la n nun cera tateilestuensmaiu rsedirrunt	|-⌫|-⌫-⌫---⌫----⌫||--|--|----|----⌫-||------|
Quant de parteitli	----|--⌫------|-|
Altis me le sgenzquant il	-----⌫-|--⌫|---|----|-|
des eurout les filz	---⌫-----|--|---|
Establitlestermesdespoples iustelenumbr e	-------|--|-----|--|-----|----|-|-----⌫|
La partieacertesdel	-|-----|------|--|
Seignurli suen s	------|-|----⌫|
Iacobl ifunelsde lasueheriditet	----|-⌫|-----|-|-|--|--------|
I ltrouatluien t ere desertetheenliu de	-⌫|-----|--|-|-⌫--|---------|-|--|-|
hisdureguastesultiuetet	-----||-----|---------|
Enu irunmenatluie	---⌫---|----|--||
enseign at eguardatsicumelapurnele	-------⌫-||------|-----|-|------|
de sun oil	-|--|--|
Sicumeliaigles	-----|-|-----|
puruocanz a uoler	--------||----|
se spulcinsesu r	--⌫|------||--⌫|
elsuoletanz	--|-------|
Espandit sesel ese	-------|--|--⌫-||
p ristelseportatens esestables	-⌫---|--||-----|-|-⌫-|-------|
Siresulsfutduitre delu i e	---|---|--|-----|-|--⌫||
neeste itotlui de usestra nge	-|----⌫-|-|--|--⌫-|-----⌫--|
E sta blit lui surhal te tereque	-⌫---⌫---|--|--|---⌫-|---|--|
il ma niastlesfruizdescams	-|--⌫----|--|----|--|---|
Queils uçast	--|-|-⌫-----|
mieldep iereeolie demoult dur eroche	---|-|-⌫---||---|-|----|---⌫|----|
Bure dearm ent	---|-|---⌫--|
la graisse	-|------|
de aignels	-|------|
edesmultunsa s f i lz	|--|------|-⌫|-⌫-⌫-|
BasanE les bucsotla mule	----||--|---|-|-|---|
de furmentele	-|------||-|
sanc d eg rapebeusttres cler	---|-⌫|-⌫---|----|---|---|
Engraiss iezestli	--------⌫--|--|-|
amezere ca lcitrat engraiss iez esaimez ensampliz	---||--⌫--⌫------|--------⌫--|------|--------|
Il d eg uerpit	-|-⌫--⌫-----|
Deu sunf aiturede sseuratseide	--|--|-⌫----||--⌫------|--|-|
Deulesuensaluable	--|-|---|-------|
Puruocer entluiendeu s estranges	--------⌫--|--|-|---⌫|--------|
een ab o minat iuns	|-|--⌫-⌫-----⌫---|
airacundie commo ürent	|--------|-----⌫-----|
I lsacri fierenta diablese	-⌫|-----⌫------||------||
D euasdeus	-⌫-|-|---|
les quels ilnecunu isseient	---⌫----|-|-|----⌫-------|
Nuue le fress is santuindren tlesquelsnecultiue rent li	----⌫||-----⌫--⌫---|-------⌫|-------|-|-------⌫---|-|
engen dratdeguerpissiseo bli asle	-----⌫---|-----------||-⌫---⌫-|-|
Seignor tu n	------|--⌫|
Si ree a iracun die comoüzestkar	--⌫-|||------⌫--|------|--|--|
puruocherent lui lis uen fil esesfilles	-----------|--|-|-⌫--|--||--|-----|
Ierepu ndrai la	-|----⌫----|-|
me iefacedee lseesguarderailes	--⌫-|---|-|-⌫-||----------|--|
desrainetezdeels	----------|-|--|
Kar lagenerati unestpuruer seenientfitheilli	--|-|--------⌫-|--|------⌫-||----|------|-|
Il methesmemeipuruocherenten	-|-------|--|-----------|-|
iceluichi ne esteit	-----|--|-|-----|
de useentrai nnerentenluruanitet Eie	--⌫-||------⌫------|-|--|------||-|
puru o cheraiels enicelui chi nenestpopl ese	----⌫-⌫-----|--|-|-----|--|--|--|----⌫-||
enfolegent en tarierai els	-|---|---|--⌫-------|--|
Fuus est e spris enlameie	---|--|-⌫----|-|-|---|
fuiru r e ardratdesqueas	-----⌫||-----|-----|-|
derainetezdeenfer nE	---------|-|-----⌫||
deuoreratlatereot s u ngerm in e	--------|-|---|-|-⌫-⌫|----⌫--⌫|
ele sfundemenzdes monz ardrat	|--⌫|--------|--|---|-----|
Ie assemblerai sur	-|----------|--|
elsmalescoses elesmeies	--|----|----||--|----|
sa ietesaemplirai enels	--⌫----|--------|-|--|
Seruntdeguastet parfai med e uorerunt e l soisel	-----|--------|--|---⌫||-⌫-⌫-------|-⌫-⌫|----|
pa rmultam ermors	--⌫|---|--⌫-|---|
Den z debeste senueier aienelso t	---⌫|-|-----⌫|-------⌫-|-|--|-⌫|
fuirur d etraianz surtereed esr ampanz	-----|-⌫-------|--|---||-⌫-|-⌫-----|
De forsguasteratelsglaiueededenzpo ür	--⌫---|--------|--|-----||-----|--⌫--|
Iuuence lensembleemen t euirginealeitantotuieilhume	-------⌫|------------⌫||------|-------|-|----|---|
E ie disU sun ti l	|-|--||---⌫|-⌫|
C esserfe rai de	-⌫----|--⌫--|-|
hu mes l amemoriedeice ls	--⌫--|-⌫|------|-|---⌫-|
Maispurlirede lur	---|--||--|-|--|
enemispurlu gnai quepar a uenture nes	-----|-----⌫---|--|--|-⌫------|-||
e norguillissent lur enemisEdesissen t	-⌫-------------|--|-----||--------⌫|
mainesthalteenient li	---|--|----||----|-|
Sirefi sttutes ic es	---|--⌫-|----|--⌫-|
Lagen tsanzcunseil est	-|---⌫|---|------|--|
esanzcuintise lameieuolentetsoüssent	|---|-------|-|---|-------|--------|
eentendissen t	|-----------⌫|
elesderainetezpurueïssent	|--|---------|-----------|
Cumfai terementparsiuent unsmiledui caceas sent	--|---⌫-------|--------|--|--||--|------⌫---|
dismil liers	--|---⌫----|
Dumn estpu r ice que lu rde usuendit	--||--|--⌫|--|--|--⌫|--⌫-|-----|
Sire concl u st els	---|-----⌫-⌫-|--|
Nientacertes es t	----|------|--⌫|
li nost re	-|----⌫-|
Deussicume lideusdei celseli	---|-----|-|---|-|-⌫---||-|
nostreenem isuntiugeür	-----|----⌫|---|------|
De lauignedes	-|-|----|--|
Sodomiens l a	--------|-⌫|
uignedecels	----|-|---|
edessuzcitea in s de	|--|--------⌫--⌫|-|
Lag rapedecelsgrap ede fiel	-|-⌫---|-|---|----⌫|-|---|
erai sime tmul t a mer	|---⌫----⌫|---⌫|-⌫--|
dragunsle uindecelse uenimde	------|-|--|-|---||----|-|
serp enz neientsanable	----⌫--|-----|------|
Du mnes unt icescoses reposte se n uers	--⌫--|-⌫--|---|----|-------⌫|-⌫-⌫---|
me ie signezenmes tresors	--⌫||-----|-|--|------|
Meie est uenian ce eieregueredur rai a els	---|--|------⌫-||-|----------⌫--||--|
anten scururst li piez d eic els	-|---⌫|------|-|---|-⌫|--⌫--|
Deiusteestliiurdeperdiciu ne	------|--|-|--|-|--------⌫||
a estre sei has te nt litens	|----|--|---⌫--⌫-|-|---|
Siresunp opleeen sesse rsauratmerci	---|--|-⌫---||-|--|--⌫-|----|----|
uerratque enfer met hés ei t la	-----|--|-----⌫---⌫--|-⌫--⌫|-|
enclosne fistrent	-----|-|-------|
el i altre	|-⌫|----|
d eguaste tsuntEildirat U su ntli	-⌫-------⌫|---||-|----||--⌫-|-|
deude icels	--|-|----|
ilau ei entfiance	-|--⌫--⌫--|-----|
Dessacrificesdesquels il mani oentgraisese b eueientuin	--|---------|-------|-|----⌫---|------||-⌫------|--|
des sacrifices	--|---------|
Esd recen tsei	---⌫-----⌫|--|
aiudent auusee n	------||--||-⌫|
necess itetuus defend ent	------⌫---|--|------⌫--|
ue iezqu eie suisuls	--⌫--|--⌫|-|--|---|
enenest a ltredeus estremei	|--|--|-⌫---|---|----|--|
Ie ocirai eieuiureferaiie	-|-----||-|----|----|-|
i esaner a i	-⌫|-----⌫-⌫|
estq uide la	--|-⌫-|-|-|
me iem ain	--⌫-|-⌫--|
p u issedeli ure r	-⌫-⌫---|----⌫---⌫|
Ie leueraia lciellam ei emain	-|------|-⌫|---|-|-⌫--⌫|---|
Ieuifen parmen ablet et	-|--|-|------⌫-----⌫-|
Siie aguiser aisic umefuldre	-|-|-------⌫-|---⌫--|-----|
lameiespetheerauirunt iugementles meiesmai n s	-|---|-----||-------|-------|--|----|---⌫-⌫|
Ierend ra iuenianceames enemisea	-|----⌫--⌫|-------||--|-----|||
ceschi haïr entmei reg uerredurrai	--|--|-----⌫--|--|---⌫----------|
Ieeniu eraime ss aietesdesanceli	-|----⌫---|--⌫|-⌫-----|-|---||-|
miensglaiuesdeuorerat l eschars	----|------|--------|-⌫-|----|
Del sancdesocise	--|---|--|---||
delac ai tiuitet de ldenué	-|-|-⌫--⌫------|--⌫|-----|
chiésdesanem is	-----|--|----⌫-|
Loez genzlepople deluikarlesanc	---|---|-|----|-|--|--|-|---|
de ses ser sil u enier at	-|--|---⌫|-|-⌫-----⌫-|
En ue n ianc e reg ue rr edunerates enemis	-|--⌫-⌫----⌫|---⌫--⌫--⌫-------|-|-----|
dece ls e pard unableserat	-|--⌫-||----⌫-----|----|
alat e rrede sunp ople	|-|-⌫-⌫--|-|--|-⌫---|
PUER OR UM	----⌫--⌫-|
Ben e ïssiezuostutes weures	---⌫-⌫------|--|----|-----|
Damnedeub eneïsseza l	-------|-⌫--------|-⌫|
Sei gnurloez esoure ssalciez	---⌫---|---||-----⌫-------|
luiessiecles	--|-|------|
Bene ïssezuus	----⌫-----|--|
Damnedeual	-------|-|
Seignurbeneï ssezuus ciela	------|------⌫---|--|---||
Benei ̈sseztutes	-----⌫----|----|
ewes kisurlescielsestesa	---|-|--|--|----|----||
Damnedeube neïssez	-------|--⌫-------|
uus tutesuertuzde	--|----|-----|-|
Damnede ual	-------⌫|-|
So lei l z elune beneïss eza	--⌫---⌫-⌫||---|--------⌫-||
Da mnedeu beneïssezu u ses te ill esdel cie la	--⌫-----|---------|-⌫-⌫|--⌫--⌫---⌫-|--|---⌫||
P luie e rouséebenei ̈ssez a	-⌫---||------|-----⌫----||
Dam nedeubeneïs sez tuitesperitd e	---⌫----|-------⌫--|---|------|-⌫|
Beneïssed otufouse	---------||-|---||
Damnedeu beneïsse zt ufreidoursetu	-------|---------⌫|-⌫|--------||-|
Beneïss ezouusrous éeset u r iméea	--------⌫-||--|----⌫---||-⌫|-⌫----||
Dam nedeubeneïssez tu giel	---⌫----|---------|-|---|
et ufreidurea	|-⌫|-------||
Beneïssez tu glaceeuo sneifs	---------|-|----||--⌫|----|
