iadisaui entenn ormendie	----|---⌫--|-|-⌫-------|
puisle re m eineensu np a is	---|-|--⌫-⌫---|-|--⌫|-⌫-⌫-|
lebe iure adenun	-|--⌫---|-|-|-|
ues sel mis	---⌫--|--|
lidami s eu sioi use liez	-|----⌫-⌫--⌫|---⌫-||---|
quanta rie refu repeiriez	----|-⌫---⌫-|-|--------|
nesur iurnat pas e nla tere	-|---⌫-----|--|-⌫|-|---|
alrei ala tsafill equere	-|--|---⌫|-|----⌫|----|
quilli donast il lap rendreit	-|-|-|-----|-|-|-⌫-------|
ens umle munt la po rtereit	-|-⌫-|-|---|-|--⌫------|
lireisn e lescundist mie	-|---|-⌫||--------|--|
mes mutl etintagrantfolie	--|--|-⌫|---||----|----|
pur ceoquilier t	--|--|-|-|---⌫|
deieofneage	-|-----|--|
tan tprodum ua illantesage	---⌫|-----|--⌫-----||---|
untasaiéicelafair e	--|-----|---|-----⌫|
kin enpurent a	-||-|-----||
termeliadnuméepr i s	----|-|-|----||--⌫-⌫|
ses hummema nde esesam is	--|----|--⌫--||--|--⌫-|
il poeitaueir	-|----|----|
ne ni laissanul	|-⌫||-----|--|
pursafille pu rle	--|-|----|--⌫|-|
ki enauenture	-|-|-------|
delipor terensum lemunt	-|-|---⌫--|-|--|-|---|
parzuenu zisunt	---|----⌫||---|
ladameiseles aturna	-|--------||-----|
m utsedestre int	-⌫-|-|------⌫--|
eamangerp uralegier	||-----|-⌫-|------|
amiuo lei taler	--|--⌫---⌫|---|
aliu rquanttu zfurent	-|--⌫|----|--⌫|-----|
lidami selsprime ri	-|----⌫---|-----⌫||
su n beiur eniu bliamie	--⌫|-----⌫|||-⌫---|--|
deuer s seigneenlapra erie	-----⌫|-----|-|-|---⌫---|
en la grantgen ttutasemblee	-|-|----|---⌫|--|-------|
lireisad sa fil le	-|---|-|-|---⌫-|
dra pues tu fors lach emise	---⌫|---⌫-|---|-|--⌫----|
en tresesb razlaueit	--⌫--|--|-⌫--||----|
l afiol eteod tu t	-⌫|----⌫--|-|--⌫|
b i enseit queelenel	-⌫-⌫-|---|--|--|-||
uo ut pasdeceiure	--⌫-|--|-------|
ensa mein por terlib aille	-|-|---|---⌫--|-|-⌫----|
mes iocreim que poi l i uaille	--|-|----|--|--|-⌫|-----|
ka rnoten luipointdeme sure	--⌫||-|-|--|----|-|--⌫---|
od luisenueitgrantaleu re	-|--||-|---|----|----⌫-|
lemun tmuntadesiquenmi	-|---⌫|----|-----|---|
pur laioie	--|-|---|
desunbei ure ne li	-|--|---⌫--|-|-|
ele sentiqu ilalaissa	--|----|-|-|------|
amis fe telekarbeuez	---|--⌫|--|--|----|
ieosaibien q u e	--|--|---|-⌫-⌫|
si recuue rezuostreu ertu	-|------⌫--|-----|-⌫---|
l id amisela drespundu	-⌫|-⌫-----|-⌫|-------|
beleiosentt utf or tmun	---|-|---|-⌫-|-⌫--⌫|--|
nemaresterei ea nul fue r	-||---------⌫||--|---⌫|
silungementque	-|--------|--|
ieobeu sse	--|---⌫--|
purqu ei tr eispasalerpeusse	--|--⌫-|--⌫--|--|---|-----|
cestegentnus esc rireent	----|---|--|---⌫------|
delurno ise m es turdireie n t	-|--|--⌫--||--⌫---------⌫-⌫|
tost m epurreient de sturber	---|-⌫|--------|--⌫------|
ione uoilpa sci	-|-|---|--⌫|-|
q uantlesdeuspa rzfumu nt e ́s us	-⌫---|--|---|--⌫-|-|--⌫--⌫-⌫|-⌫-|
pur unpetit	--|-|----|
quiln e chi et	-|-|-⌫|---⌫-|
s ou e nt liprie la	-⌫--⌫-⌫-|-|---|-|
mesch in e	-----⌫--⌫|
amibeuezu o stremescine	--|----|-⌫-⌫---|------|
ianelauolt oirnecreire	-|-|-|---|--|-|-----|
a grantan guisseodtut leire	|----|--⌫-----|-|--||---|
surlemunt uinttant segreu a	--|-|---|---|---|-|----⌫|
ileocche i puisneleua	----|---⌫|---|-|---|
liquorsdeluentres enparti	-|----|--|-----||-|----|
uit sunami	--|--|--|
quidak i lfust	----||-⌫|---|
en paum eisuns	-|----⌫-----|
lezlui seme t engenui lluns	--|--|-|--⌫|-|-----⌫----|
sunb eiurel iuo leitdoner	--|-⌫----|-⌫|--⌫---|----|
m es il nepoutodlui parler	-⌫-|-|-|---|-|--|-----|
iss i mu rutcum ieouus di	---⌫|--⌫--|--|--|--|-|
el el e pl eintamuthaut	--⌫|-⌫|--⌫---||--|---|
puisadgetéeespau ndu	---|-|----||-----⌫--|
li u eisselu lebeiure fu	-|-⌫-----||-|-----|-|
li munsenfubienarusez	-|---|-|-|---|-----|
adesté amendez	-|----|------|
paiselacuntree	---||-|------|
meintebone	-----|---|
herbe iu nt	----||-⌫-|
beiureorentraci ne	-----|----|----⌫-|
oreuu sdirai	--|--⌫|----|
dela me schine	-|-|--⌫-----|
pu isquesunamiotper d u	--⌫-|--|--|--|-|---⌫-⌫|
unkessidolentene	----|-|------|-|
lezluisec uche e es tent	--|--|-|-⌫---||--⌫---|
entre ses braz lestrein te	----|--|---||-------⌫||
suue ntl i baiseoil zebuche	----⌫-|-⌫|----|---⌫||----|
lidolsdel ialquor	-|---|-|-⌫|-|---|
ilec murutla dameisele	---|----|-|--------|
qu etanter t pruze	--⌫|---|--⌫|---||
sagee bele	---||---|
lireis e c il lura t end eient	-|---||-⌫-|--|-⌫-⌫---⌫----|
quantun t ue uqu il ne	----|--⌫|--⌫|-|-|-|
uunt apres eus	---|----|--|
sis un ttrouez	-||--⌫|-----|
li reischietate rep aumez	-|---|----||--⌫-|-⌫----|
quant potparlergra nt doldemeine	----|--|-----|---⌫-|--|------|
kar si fi r entlagent	--|-|--⌫-⌫--|-|---|
treisiur s	----|---⌫|
lesunt tenu	--|--|---|
sarcudem arbre fi rent quere	----|-|-⌫----|--⌫---|----|
lesdeusenfanz unt misdedenz	--|---|-----|--|--|-----|
parl ecunsei lde	--|-⌫|------⌫|-|
sur lemuntle s	--|-|---|--⌫|
en fuirent	--⌫------|
atantse departi rent	|---|-|-------⌫---|
auenturedes enfaunz	-------|--|------|
ad nun limunzdes deusamanz	-|--|-|---|--|---|----|
issiaui ntcumdituus	---|---⌫-|--|--|--|
enfirent un	-|-----|-|
